"index","name","LossJulDec12","LossJanJun13","LossJul12Jun13","LossJulDec11","LossJanJun12","LossJul11Jun12","address","type","vo","region","attached_entitlements","egms"
305,"MYRTLEFORD SAVOY SPORTING CLUB",505497.3,0,0,561319.11,571439.67,1132758.78,"252-254 MYRTLE STREET MYRTLEFORD     VIC 3737","Club","V9310068","Country","26","26"
306,"NAGAMBIE LAKES ENTERTAINMENT CENTRE",615183.42,0,0,724452.08,669961.26,1394413.34,"HIGH STREET NAGAMBIE 3608","Club","V9780049","Country","32","32"
307,"New Bay Hotel",392411.46,0,0,596322.44,515994.42,1112316.86,"329 New Street Brighton 3186","Hotel","V09096279","Metropolitan","50","50"
308,"NEWMARKET TAVERN",4986213.06,0,0,5002141.14,4536806.54,9538947.68,"386 RACECOURSE ROAD NEWMARKET    VIC 3031","Hotel","V9610006","Metropolitan","68","68"
309,"NOBLE PARK FOOTBALL SOCIAL CLUB",2119673.61,0,0,2126746.26,1918333.53,4045079.79,"46 MOODEMERE STREET NOBLE PARK   VIC 3174","Club","V9310131","Metropolitan","50","50"
310,"NOBLE PARK RSL",1455384.78,0,0,1505371.88,1458447.32,2963819.2,"1128 HEATHERTON ROAD NOBLE PARK   VIC 3174","Club","V98095097","Metropolitan","30","30"
311,"NORLANE HOTEL",4378148.64,0,0,6093119.49,4919478.55,11012598.04,"2-6 PRINCES HIGHWAY NORLANE   VIC 3214","Hotel","V9780045","Country","84","84"
312,"NORTH BALLARAT SPORTS CLUB",3013747.8,0,0,3100610.64,3052626.88,6153237.52,"BALLARAT SHOWGROUNDS RESERVE, CRESWICK ROAD BALLARAT   VIC 3350","Club","V9780018","Country","70","70"
313,"NORTHCOTE PARK FOOTBALL CLUB",1962378.96,0,0,2025988.46,1900951.54,3926940,"71 SYDNEY ROAD BRUNSWICK   VIC 3056","Club","V9210224","Metropolitan","85","85"
314,"NORTHCOTE RSL",224823.39,0,0,1067562.79,1010953.39,2078516.18,"496 HIGH STREET NORTHCOTE   VIC 3070","Club","V99095218","Metropolitan","0","56"
315,"NUMURKAH GOLF &amp; BOWLS CLUB",874808.76,0,0,984179.53,786321.56,1770501.09,"TUNNOCK ROAD NUMURKAH   VIC 3636","Club","V9610077","Country","60","60"
316,"OAKLEIGH JUNCTION HOTEL",2778963.27,0,0,3000632.35,2675895.44,5676527.79,"1 PORTMAN STREET OAKLEIGH VIC 3166","Hotel","V98095066","Metropolitan","45","46"
317,"OASIS OZ HOTEL",0,0,0,0,0,0,"177-197 DRYBURGH STREET NORTH MELBOURNE 3051","Hotel","V09096272","Metropolitan","0","22"
318,"OCEAN GROVE BOWLING CLUB",1801879.12,0,0,1960452.62,1947878.34,3908330.96,"18 THE TERRACE OCEAN GROVE   VIC 3226","Club","V9210177","Country","60","60"
319,"OLD ENGLAND HOTEL",5619226.72,0,0,5544155.11,5088071.28,10632226.39,"459 LOWER HEIDELBERG ROAD HEIDELBERG 3084","Hotel","V9610063","Metropolitan","93","105"
320,"OLINDA CREEK HOTEL",2102348.32,0,0,2715297.23,2521461.14,5236758.37,"161 MAIN STREET LILYDALE    VIC 3140","Hotel","V98095066","Metropolitan","45","60"
321,"OLIVE TREE HOTEL",3184325.44,0,0,3191382.32,2898824.25,6090206.57,"111 EVANS STREET SUNBURY   VIC 3429","Hotel","V02095436","Metropolitan","43","43"
322,"OLYMPIC HOTEL",4611029.54,0,0,5400743.87,5050922.75,10451666.62,"31 ALBERT STREET PRESTON   VIC 3072","Hotel","V9510031","Metropolitan","80","80"
323,"OUYEN CLUB",129509.87,0,0,119352.37,126609.28,245961.65,"9 PICKERING STREET OUYEN 3490","Club","V99095188","Country","5","5"
324,"PAKENHAM HOTEL",1675416.14,0,0,1847648.06,1829873.56,3677521.62,"226 PRINCES HIGHWAY PAKENHAM   VIC 3810","Hotel","V02095454","Metropolitan","50","50"
326,"PAKENHAM SPORTS CLUB",728064.03,0,0,731900.16,713850.76,1445750.92,"HENRY STREET PAKENHAM    VIC 3810","Club","V9510034","Metropolitan","38","38"
327,"PALACE HOTEL",2106095.59,0,0,2399658.87,2205079,4604737.87,"893 BURKE ROAD CAMBERWELL 3124","Hotel","V98095066","Metropolitan","40","48"
328,"PARKVIEW HOTEL",1201222.25,0,0,1172035.19,1127312.99,2299348.18,"131 SCOTCHMER STREET FITZROY NORTH 3068","Hotel","V12100013","Metropolitan","30","30"
329,"PASCOE VALE RSL",1457201.1,0,0,1471214.99,1344477.73,2815692.72,"40 CUMBERLAND ROAD PASCOE VALE   VIC 3044","Club","V99095187","Metropolitan","47","47"
330,"PASCOE VALE TAVERNER HOTEL",2805151.72,0,0,3117656.34,2845786.71,5963443.05,"12 RAILWAY PARADE PASCOE VALE   VIC 3044","Hotel","V98095066","Metropolitan","42","42"
331,"PENINSULA CLUB",543747.52,0,0,599176.35,603283.75,1202460.1,"1-3 NOEL STREET DROMANA    VIC 3936","Club","V9710073","Metropolitan","20","20"
332,"PENINSULA HOTEL MOTEL",2991030.49,0,0,3420675.74,3133737.12,6554412.86,"QUEENSCLIFF ROAD NEWCOMB    VIC 3219","Hotel","V9310026","Country","55","55"
333,"PEPPERMILL HOTEL",NA,NA,NA,NA,NA,NA,"7900 GOULBURN VALLEY HIGHWAY KIALLA 3631","Hotel","V09096306","Country","20","20"
335,"PHILLIP ISLAND RSL",2579953.51,0,0,2947347.93,3073419.11,6020767.04,"225-243 THOMPSON AVENUE COWES     VIC 3922","Club","V9710079","Country","58","58"
336,"PHOENIX HOTEL",1794240.88,0,0,1819147.91,1747074.02,3566221.93,"59 MOORABOOL STREET GEELONG    VIC 3220","Hotel","V04095725","Country","28","28"
337,"PIER HOTEL",3249364.55,0,0,4330733.62,3637810.37,7968543.99,"508 NEPEAN HIGHWAY FRANKSTON 3199","Hotel","V98095066","Metropolitan","60","97"
338,"PINSENT HOTEL",1970461.4,0,0,2087299.89,1907923.54,3995223.43,"20 REID STREET WANGARATTA   VIC 3677","Hotel","V9780007","Country","44","44"
339,"PLAYERS HOTEL",1858830.41,0,0,2063163.91,1852049.2,3915213.11,"1-5 SCOTT STREET DANDENONG   VIC 3175","Hotel","V98095066","Metropolitan","25","25"
340,"PLAYERS ON LYGON",3396086.7,0,0,2995708.48,3164479,6160187.48,"186-200 LYGON STREET CARLTON    VIC 3053","Hotel","V04095816","Metropolitan","67","75"
341,"PLOUGH HOTEL",10037128.26,0,0,10844761.23,9999714,20844475.23,"CHILDS ROAD MILL PARK   VIC 3082","Hotel","V98095066","Metropolitan","85","100"
342,"POLISH COMMUNITY ASSOC IN GEELONG",840159.12,0,0,1004011.47,867751.51,1871762.98,"46-48 FELLMONGERS ROAD BREAKWATER  VIC 3219","Club","V9410053","Country","35","35"
343,"PORTARLINGTON GOLF CLUB",1669724.33,0,0,1962797.05,2129305.39,4092102.44,"130 HOOD ROAD PORTARLINGTON   VIC 3223","Club","V9410103","Country","55","55"
344,"PORTLAND FOOTBALL NETBALL CRICKET CLUB",1023906.7,0,0,1045832.22,1187752.95,2233585.17,"HANLON PARK, HENTY STREET PORTLAND    VIC 3305","Club","V9410200","Country","25","25"
345,"PORTLAND RSL MEMORIAL BOWLING CLUB",637365,0,0,473667.99,478269.39,951937.38,"33 CAPE NELSON ROAD PORTLAND   VIC 3305","Club","V9210232","Country","40","40"
346,"POWELL HOTEL",2359625.17,0,0,2182991.15,2384262.21,4567253.36,"202 BALLARAT ROAD FOOTSCRAY   VIC 3011","Hotel","V98095066","Metropolitan","30","30"
347,"PRAHRAN FOOTBALL SOCIAL CLUB",1894631.3,0,0,1937445.16,1730930.5,3668375.66,"1ST FLOOR, 328-338 CHAPEL STREET PRAHRAN   VIC 3181","Club","V9410156","Metropolitan","81","81"
348,"PRESTON HOTEL",2139576.72,0,0,2220693.59,2076127.44,4296821.03,"635 HIGH STREET PRESTON    VIC 3072","Hotel","V98095066","Metropolitan","40","41"
349,"PRINCE MARK HOTEL",6743438.97,0,0,7794525.8,7305518.63,15100044.43,"CORNER POWER ROAD &amp; PRINCES HIGHWAY DOVETON   VIC 3177","Hotel","V98095066","Metropolitan","79","88"
350,"PUNTERS PALACE",776285.92,0,0,976447.56,740641.66,1717089.22,"314 SMITH STREET COLLINGWOOD   VIC 3066","Hotel","V9510018","Metropolitan","20","20"
351,"QUEENSCLIFF BOWLING TENNIS AND CROQUET CLUB",571154.1,0,0,624770.45,696062.97,1320833.42,"118 HESSE STREET QUEENSCLIFF   VIC 3225","Club","V9410086","Country","30","30"
352,"RACECOURSE HOTEL (MALVERN EAST)",785134.91,0,0,868322.33,755145.39,1623467.72,"895 DANDENONG ROAD MALVERN EAST 3145","Hotel","V09096318","Metropolitan","40","40"
353,"RACECOURSE HOTEL (WERRIBEE)",2542049.34,0,0,3307737.17,2751510.19,6059247.36,"78 COTTRELL STREET WERRIBEE   VIC 3030","Hotel","V9780045","Metropolitan","52","52"
354,"RAFFERTY'S TAVERN",NA,NA,NA,NA,NA,NA,"CORNER WALSH ROAD AND PRINCES HIGHWAY WARRNAMBOOL 3280","Hotel","V09096307","Country","19","19"
355,"RAILWAY CLUB HOTEL",1555225.85,0,0,1552836.77,1536835.16,3089671.93,"28 STATION STREET SEYMOUR   VIC 3660","Hotel","V12100012","Country","33","33"
356,"RED CLIFFS CLUB",1046067.46,0,0,1147555.87,1077748.38,2225304.25,"11 HEYTESBURY AVENUE RED CLIFFS   VIC 3496","Club","V9780002","Country","34","34"
357,"RED LION HOTEL",2222677.51,0,0,2125818.56,1907822.08,4033640.64,"217-221 MAIN ROAD BALLARAT   VIC 3350","Hotel","V9780031","Country","54","54"
358,"REGGIO CALABRIA CLUB",418492.59,0,0,568988.41,421745.38,990733.79,"476 BRUNSWICK ROAD WEST BRUNSWICK 3055","Club","V9410002","Metropolitan","34","34"
360,"RESERVOIR RSL",2402692.84,0,0,2478296.41,2285683.95,4763980.36,"251 SPRING STREET RESERVOIR 3073","Club","V9810087","Metropolitan","68","68"
362,"RIFLE CLUB HOTEL",1510766.1,0,0,2077911.1,1926408.83,4004319.93,"121 VICTORIA STREET WILLIAMSTOWN   VIC 3016","Hotel","V98095066","Metropolitan","40","59"
363,"RINGWOOD RSL",1765157.92,0,0,1878372.67,1791666.08,3670038.75,"16 STATION STREET RINGWOOD   VIC 3134","Club","V98095015","Metropolitan","70","70"
364,"RISING SUN HOTEL",1724389.67,0,0,1811375.61,1828199.38,3639574.99,"84 BARNARD STREET BENDIGO   VIC 3550","Hotel","V9210118","Country","35","35"
365,"RIVERSDALE HOTEL",2012847.98,0,0,1916473.2,1818136.7,3734609.9,"277 AUBURN ROAD HAWTHORN   VIC 3122","Hotel","V05095881","Metropolitan","42","42"
366,"RIVIERA HOTEL",2113722.76,0,0,2442279.98,2140315.7,4582595.68,"30 NEPEAN HIGHWAY SEAFORD   VIC 3198","Hotel","V98095125","Metropolitan","45","45"
367,"ROBIN HOOD HOTEL",429522.89,0,0,0,0,0,"33 PEEL STREET NORTH BALLARAT 3350","Hotel","V10096324","Country","20","20"
368,"ROBINVALE GOLF CLUB",1195852.85,0,0,1006611.85,1323348.49,2329960.34,"4240 MURRAY VALLEY HIGHWAY ROBINVALE    VIC 3549","Club","V9410197","Country","50","50"
369,"ROSE SHAMROCK HOTEL",2795127.28,0,0,3467360.35,3249422.1,6716782.45,"709 PLENTY ROAD EAST RESERVOIR   VIC 3073","Hotel","V98095066","Metropolitan","45","60"
370,"ROSEBUD COUNTRY CLUB",738037.78,0,0,774622.15,819112.69,1593734.84,"BONEO ROAD ROSEBUD   VIC 3939","Club","V9410036","Metropolitan","48","48"
371,"ROSEBUD HOTEL",5587374.52,0,0,5912950.27,5859850.9,11772801.17,"1099 NEPEAN HIGHWAY ROSEBUD   VIC 3939","Hotel","V03095677","Metropolitan","70","70"
372,"ROSEBUD RSL",2398126.04,0,0,2672692.46,2693523.46,5366215.92,"117 EASTBOURNE ROAD ROSEBUD   VIC 3939","Club","V9710042","Metropolitan","75","75"
373,"ROSSTOWN HOTEL",7775482.68,0,0,7071768.28,7056291.69,14128059.97,"1084 DANDENONG ROAD CARNEGIE   VIC 3163","Hotel","V07096032","Metropolitan","103","103"
374,"ROXBURGH PARK HOTEL",7347026,0,0,7757914.37,6996774.95,14754689.32,"CNR SOMERTON &amp; PASCOE VALE RDS ROXBURGH PARK 3064","Hotel","V00095312","Metropolitan","71","71"
375,"ROYAL EXCHANGE HOTEL",1687697.62,0,0,2577731.66,2409478.45,4987210.11,"64 PRINCES HIGHWAY TRARALGON   VIC 3844","Hotel","V98095066","Country","20","35"
376,"ROYAL HOTEL (BENALLA)",893030.83,0,0,853571.83,766622.42,1620194.25,"2 BRIDGE STREET BENALLA    VIC 3672","Hotel","V02095487","Country","30","30"
377,"ROYAL HOTEL (DAYLESFORD)",689272.28,0,0,656381.5,617971.3,1274352.8,"27 VINCENT STREET DAYLESFORD    VIC 3460","Hotel","V05095870","Country","18","18"
378,"ROYAL HOTEL (ESSENDON)",4074100.19,0,0,4763100.8,4309525.48,9072626.28,"873 MT ALEXANDER ROAD ESSENDON   VIC 3040","Hotel","V98095066","Metropolitan","60","70"
380,"ROYAL HOTEL (SUNBURY)",2709477.24,0,0,2820969.21,2768639.39,5589608.6,"63 EVANS STREET SUNBURY   VIC 3429","Hotel","V98095066","Metropolitan","31","31"
381,"ROYAL OAK HOTEL",4460670.87,0,0,4832984.14,4524292.95,9357277.09,"1375 NEPEAN HIGHWAY CHELTENHAM   VIC 3192","Hotel","V00095313","Metropolitan","76","76"
382,"ROYAL OAK RICHMOND",2188718.39,0,0,2511677.46,2221792.78,4733470.24,"527 BRIDGE ROAD RICHMOND   VIC 3121","Club","V00095320","Metropolitan","80","80"
384,"RUBICON HOTEL",NA,NA,NA,NA,NA,NA,"1362 TAGGERTY ROAD THORNTON   VIC 3712","Hotel","V12100015","Country","16","16"
385,"RYE HOTEL",1731067.33,0,0,1910179.83,1905585.93,3815765.76,"2415 POINT NEPEAN ROAD RYE   VIC 3941","Hotel","V9210149","Metropolitan","30","30"
386,"RYE RSL CLUB",2453179.88,0,0,2736805.21,3107000.78,5843805.99,"5-11 NELSON STREET RYE     VIC 3941","Club","V9780011","Metropolitan","80","100"
388,"SALE &amp; DISTRICT GREYHOUND RACING CLUB",3035702.2,0,0,2961838.24,2941550.82,5903389.06,"SALE-MAFFRA ROAD SALE   VIC 3850","Club","V9310016","Country","70","70"
389,"SANCTUARY LAKES HOTEL",360093.13,0,0,0,0,0,"280-286 POINT COOK ROAD POINT COOK 3030","Hotel","V09096299","Metropolitan","70","70"
390,"SANDBELT CLUB HOTEL",6651868.16,0,0,8259703.2,7553261.07,15812964.27,"630-646 SOUTH ROAD MOORABBIN   VIC 3189","Hotel","V98095066","Metropolitan","79","100"
391,"SANDOWN PARK HOTEL",5610072.35,0,0,6596215.57,5881971.34,12478186.91,"CNR PRINCES HIGHWAY &amp; CORRIGAN ROAD NOBLE PARK   VIC 3174","Hotel","V98095066","Metropolitan","70","90"
392,"SANDRINGHAM HOTEL",2430612.05,0,0,2551737.82,2426475.45,4978213.27,"118 BEACH ROAD SANDRINGHAM   VIC 3191","Hotel","V98095066","Metropolitan","40","45"
393,"SANDS TAVERNER",4770461.67,0,0,5441735.99,4902564.74,10344300.73,"71 HALL ROAD CARRUM DOWNS   VIC 3201","Hotel","V98095066","Metropolitan","65","65"
394,"SEAFORD RSL",784479.45,0,0,809542.98,794296.17,1603839.15,"17 STATION STREET SEAFORD 3198","Club","V98095144","Metropolitan","25","25"
