"index","name","LossJulDec12","LossJanJun13","LossJul12Jun13","LossJulDec11","LossJanJun12","LossJul11Jun12","address","type","vo","region","attached_entitlements","egms"
466,"THE RICHMOND HENTY HOTEL, PORTLAND",1278158.69,0,0,1501007.65,1496588.27,2997595.92,"101 BENTINCK STREET PORTLAND   VIC 3305","Hotel","V9780028","Country","32","32"
467,"THE ROYAL HOTEL FERNTREE GULLY",4335172.44,0,0,4821700.1,4443456.79,9265156.89,"1208 BURWOOD HIGHWAY FERNTREE GULLY   VIC 3156","Hotel","V98095066","Metropolitan","70","90"
468,"THE SALE RSL &amp; COMMUNITY SUB-BRANCH",544574.1,0,0,591754.27,552301.28,1144055.55,"143 YORK STREET SALE 3850","Club","V00095371","Country","36","36"
469,"THE SETTLEMENT AT CRANBOURNE",3723939.41,0,0,4069295.73,3640344.48,7709640.21,"CNR SOUTH GIPPSLAND HIGHWAY &amp; CAMMS ROAD CRANBOURNE   VIC 3977","Hotel","V9410066","Metropolitan","44","52"
470,"THE TIGERS CLUBHOUSE",4726882.19,0,0,4502172.88,4213051.06,8715223.94,"70 OLD GEELONG ROAD HOPPERS CROSSING 3029","Club","V99095217","Metropolitan","75","75"
471,"THE VALE HOTEL",4442325.29,0,0,4707504.42,4283930.2,8991434.62,"2277 DANDENONG ROAD MULGRAVE 3170","Hotel","V98095066","Metropolitan","56","56"
472,"THE VIC INN",1544438.96,0,0,2029649.05,1718766.19,3748415.24,"65-67 DOUGLAS PARADE WILLIAMSTOWN   VIC 3016","Club","V00095320","Metropolitan","60","60"
473,"THE YARRAM COUNTRY CLUB",1254890.08,0,0,1461723.82,1311807.87,2773531.69,"322-340 COMMERCIAL ROAD YARRAM 3971","Club","V01095395","Country","37","37"
474,"TOORADIN &amp; DISTRICT SPORTS CLUB",1028608.76,0,0,1381228.41,1261448.37,2642676.78,"RECREATION RESERVE, SOUTH GIPPSLAND HIGHWAY TOORADIN   VIC 3980","Club","V9310075","Metropolitan","42","42"
475,"TORQUAY GOLF CLUB",183503.28,0,0,502135.78,375934,878069.78,"1 THE GREAT OCEAN ROAD TORQUAY   VIC 3228","Club","V08096167","Country","40","40"
476,"TORQUAY HOTEL",535659.95,0,0,531650.97,507896.64,1039547.61,"36 BELL STREET TORQUAY   VIC 3228","Hotel","V09096289","Country","15","15"
477,"TOWER HOTEL",1189643.46,0,0,1360605.81,1276833.99,2637439.8,"686 BURWOOD ROAD EAST HAWTHORN 3123","Hotel","V00095321","Metropolitan","25","25"
478,"TOWN HALL HOTEL STAWELL",830789.91,0,0,914695.41,832776.41,1747471.82,"62-68 MAIN STREET STAWELL    VIC 3380","Hotel","V9510061","Country","23","23"
479,"TRARALGON BOWLS CLUB",2368040.74,0,0,2473470,2444478.83,4917948.83,"CNR GWALIA STREET &amp; LIDDIARD ROAD TRARALGON   VIC 3844","Club","V9210178","Country","59","59"
480,"TRARALGON RSL",1007653.88,0,0,1187656.32,979371.86,2167028.18,"109-115 GREY STREET TRARALGON   VIC 3844","Club","V9710068","Country","37","37"
481,"TRIOS SPORTS CLUB",3658901.04,0,0,3671706.94,3551907.27,7223614.21,"30 GRANT STREET CRANBOURNE 3977","Club","V99095231","Metropolitan","75","75"
482,"TUDOR INN HOTEL",3204937.67,0,0,3584429.75,3412765.88,6997195.63,"1281 NEPEAN HIGHWAY CHELTENHAM    VIC 3192","Hotel","V98095066","Metropolitan","47","56"
483,"UNION CLUB HOTEL",1400920.39,0,0,1485431.01,1376527.03,2861958.04,"110 MURRAY STREET COLAC   VIC 3250","Hotel","V00095339","Country","22","22"
484,"UPPER YARRA RSL",628674.68,0,0,745173.83,653284.63,1398458.46,"119 SETTLEMENT ROAD YARRA JUNCTION  VIC 3797","Club","V98095142","Metropolitan","30","30"
485,"VAUCLUSE HOTEL",2121357.95,0,0,2144608.04,1803877.47,3948485.51,"157 SWAN STREET RICHMOND 3121","Hotel","V12100007","Metropolitan","31","31"
486,"VEGAS AT WAVERLEY GARDENS",5931639.25,0,0,6020764.16,5663661.38,11684425.54,"SHOP 122, WAVERLEY GARDENS SHOPPING CENTRE MULGRAVE    VIC 3170","Club","V00095377","Metropolitan","75","75"
487,"VENETO CLUB",3327731.61,0,0,3253398.15,3190231.8,6443629.95,"191 BULLEEN ROAD BULLEEN   VIC 3105","Club","V9780012","Metropolitan","90","90"
488,"VICTORIA HOTEL (SHEPPARTON)",2623931.26,0,0,2780490.32,2702756.84,5483247.16,"CNR WYNDHAM &amp; FRYERS STREETS SHEPPARTON    VIC 3630","Hotel","V98095066","Country","40","45"
489,"VICTORIA ON HYDE HOTEL",1160247.92,0,0,1366690.65,1274254.89,2640945.54,"188 HYDE STREET YARRAVILLE   VIC 3013","Hotel","V09096265","Metropolitan","24","24"
490,"VICTORIAN HARNESS RACING SPORTS CLUB",2771730.02,0,0,2993244.05,2474937.3,5468181.35,"740 MT ALEXANDER ROAD MOONEE PONDS   VIC 3039","Club","V9810086","Metropolitan","80","80"
491,"VICTORIAN TAVERN",2863772.02,0,0,2783300.88,2529899.8,5313200.68,"22 AITKEN STREET GISBORNE  VIC 3437","Hotel","V11100001","Country","42","42"
492,"VILLAGE BELLE HOTEL",1081868.8,0,0,1404305.63,1218008.88,2622314.51,"202 BARKLY STREET ST KILDA    VIC 3182","Hotel","V06095977","Metropolitan","31","31"
493,"VILLAGE GREEN HOTEL",6684790.25,0,0,7610601.41,7135767.39,14746368.8,"CNR SPRINGVALE &amp; FERNTREE GULLY ROAD MULGRAVE   VIC 3170","Hotel","V98095066","Metropolitan","75","79"
494,"VINE HOTEL RICHMOND",1764894.34,0,0,1474930.66,1606441.06,3081371.72,"254 BRIDGE ROAD RICHMOND   VIC 3121","Hotel","V04095738","Metropolitan","26","26"
495,"WALTZING MATILDA HOTEL",5457781.72,0,0,6450516.14,5916816.05,12367332.19,"856 - 868 HEATHERTON ROAD SPRINGVALE   VIC 3171","Hotel","V98095066","Metropolitan","68","80"
496,"WANGARATTA CLUB",537115.12,0,0,549388.73,465458.74,1014847.47,"4 VICTORIA PARADE WANGARATTA   VIC 3677","Club","V9610093","Country","25","25"
497,"WANGARATTA RSL",793858.66,0,0,870584.09,791786.66,1662370.75,"VICTORIA PARADE WANGARATTA   VIC 3677","Club","V9710053","Country","32","32"
498,"WANTIRNA CLUB",2283174.16,0,0,2453543.17,2265907.24,4719450.41,"350 STUD ROAD WANTIRNA   VIC 3152","Club","V9710071","Metropolitan","87","87"
499,"WANTIRNA HILL CLUB",1828738.02,0,0,2027819.59,1968617.61,3996437.2,"715 BORONIA ROAD WANTIRNA 3152","Club","V99095270","Metropolitan","60","60"
500,"WARRAGUL CLUB",2772553.18,0,0,3053532.79,2976686.78,6030219.57,"55 VICTORIA STREET WARRAGUL   VIC 3820","Club","V9780001","Country","80","80"
501,"WARRAGUL COUNTRY CLUB",1521029.88,0,0,1599137.38,1507388.67,3106526.05,"41 SUTTON STREET WARRAGUL    VIC 3820","Club","V9410173","Country","56","60"
502,"WARRNAMBOOL BOWLS CLUB",1809941.69,0,0,1912145.44,1928809.11,3840954.55,"75 TIMOR STREET WARRNAMBOOL    VIC 3280","Club","V9410127","Country","40","45"
503,"WARRNAMBOOL FOOTBALL CLUB SOCIAL CLUB",1665465.36,0,0,2047559.92,1964339.04,4011898.96,"CRAMER STREET WARRNAMBOOL   VIC 3280","Club","V9210188","Country","40","51"
504,"WARRNAMBOOL RSL",326512.32,0,0,440373.87,391164.82,831538.69,"CORNER LIEBIG &amp; MERRI STREET WARRNAMBOOL   VIC 3280","Club","V99095245","Country","24","24"
505,"WATERGARDENS HOTEL",7217191.56,0,0,7873223.29,7199175.49,15072398.78,"431 KINGS ROAD TAYLORS LAKES 3038","Hotel","V99095195","Metropolitan","76","76"
506,"WATERLOO CUP HOTEL",4556334.09,0,0,5133610.71,4382383.84,9515994.55,"252 MARIBYRNONG ROAD MOONEE PONDS   VIC 3039","Hotel","V05095887","Metropolitan","70","70"
507,"WATSONIA RSL",3255688.38,0,0,3155894.27,3086161.92,6242056.19,"6 MORWELL AVENUE WATSONIA   VIC 3087","Club","V98095108","Metropolitan","83","83"
508,"WAURN PONDS HOTEL",1984482.6,0,0,1535989.06,1935610.66,3471599.72,"PRINCES HIGHWAY WAURN PONDS    VIC 3216","Hotel","V06095968","Country","70","70"
509,"WAVERLEY RSL CLUB",1438451.97,0,0,1620095.95,1433793.07,3053889.02,"CNR COLEMAN PDE &amp; GLENDALE STREET GLEN WAVERLEY   VIC 3150","Club","V98095055","Metropolitan","67","67"
511,"WERRIBEE PLAZA TAVERN",9756961.36,0,0,10977968.88,10026341.19,21004310.07,"CNR DERRIMUT AND HEATH ROADS WERRIBEE    VIC 3030","Hotel","V98095066","Metropolitan","80","80"
512,"WERRIBEE RSL",1635507.39,0,0,1876911.28,1729150.15,3606061.43,"KELLY PARK, SYNOTT STREET WERRIBEE   VIC 3030","Club","V9710028","Metropolitan","60","60"
513,"WEST HEIDELBERG RSL",421014.3,0,0,385416.33,398004,783420.33,"180 BELL STREET WEST HEIDELBERG   VIC 3081","Club","V07096006","Metropolitan","31","31"
514,"WEST SIDE HORSHAM",961112.69,0,0,933316.18,827970.86,1761287.04,"BENNETT ROAD HORSHAM    VIC 3401","Club","V08096104","Country","34","34"
515,"WEST WATERS HOTEL",NA,NA,NA,NA,NA,NA,"10-20 LAKE STREET CAROLINE SPRINGS 3023","Hotel","V08096138","Metropolitan","80","80"
516,"WESTEND MARKET HOTEL",7998078.7,0,0,9343933.46,8506940.79,17850874.25,"47 MCINTYRE ROAD SUNSHINE   VIC 3020","Hotel","V01095411","Metropolitan","78","88"
517,"WESTERNPORT HOTEL",2131040.48,0,0,2276749.91,2082571.45,4359321.36,"CORNER SALMON &amp; HIGH STREETS HASTINGS   VIC 3915","Hotel","V04095750","Metropolitan","40","40"
518,"WESTMEADOWS TAVERN",2246278.6,0,0,2802775.97,2425980.62,5228756.59,"10 ARDLIE STREET WESTMEADOWS   VIC 3049","Hotel","V98095066","Metropolitan","40","42"
519,"WESTSIDE TAVERNER",5471113.4,0,0,6250851.67,5602093.43,11852945.1,"3-5 FITZGERALD ROAD LAVERTON NORTH   VIC 3026","Hotel","V98095066","Metropolitan","68","70"
520,"WHALERS HOTEL",1315860.11,0,0,1564766.17,1503390.54,3068156.71,"53 LIEBIG STREET WARRNAMBOOL   VIC 3280","Hotel","V07096004","Country","34","45"
521,"WHEELERS HILL HOTEL",2415041.78,0,0,2827292,2624566.7,5451858.7,"871-891 FERNTREE GULLY ROAD WHEELERS HILL   VIC 3150","Hotel","V98095066","Metropolitan","40","50"
